request_id,student_id,book_id,loan_date
1,602,17682,2021-04-14
2,1963,38986,2015-08-23
3,1247,7450,2016-01-16
4,764,7129,2023-04-05
5,1475,45940,2024-01-03
6,4535,47474,2021-10-07
7,2405,4766,2017-10-02
8,915,48554,2022-05-06
9,4407,47388,2017-06-20
10,1279,48937,2023-10-31
11,1047,16240,2023-08-23
12,1958,47776,2018-07-09
13,965,41250,2019-02-21
14,3276,49121,2019-08-25
15,2339,24467,2022-10-21
16,2938,22925,2021-04-21
17,1964,14772,2018-07-14
18,174,28921,2022-07-25
19,4451,5733,2017-06-11
20,1270,49393,2018-07-04
21,2456,46893,2023-01-15
22,293,37383,2016-01-28
23,1425,27285,2023-08-21
24,676,43307,2023-03-06
25,2203,24234,2017-11-10
26,4033,45960,2016-10-06
27,383,49107,2019-03-25
28,440,17607,2019-03-02
29,934,28646,2017-01-13
30,100,24025,2017-05-19
31,1101,29696,2016-12-13
32,413,9641,2021-07-15
33,235,29905,2019-02-03
34,4042,38385,2023-08-18
35,4278,16258,2018-08-14
36,805,2723,2022-08-08
37,170,21439,2019-10-07
38,408,31411,2023-09-17
39,1301,33591,2016-04-21
40,2638,2198,2024-01-11
41,644,49951,2018-11-10
42,126,18141,2017-01-12
43,2570,8297,2016-10-17
44,885,24326,2022-09-12
45,2963,31404,2022-11-16
46,629,11608,2018-01-24
47,2842,22597,2018-03-19
48,3855,16525,2019-07-19
49,3513,38352,2020-12-10
50,2724,33770,2017-06-01
51,1399,45822,2014-10-02
52,3557,29079,2021-06-22
53,1284,46282,2022-12-19
54,207,27215,2022-04-27
55,3611,28862,2015-12-14
56,1964,4239,2020-03-02
57,1594,4466,2017-02-17
58,2592,43953,2014-08-30
59,1690,18960,2014-12-14
60,4527,16717,2016-09-17
61,58,28870,2023-07-10
62,4,36726,2023-04-24
63,4896,32150,2015-03-30
64,606,38636,2022-05-24
65,4387,31572,2022-12-15
66,372,16660,2016-07-03
67,1804,15111,2023-05-02
68,2826,21957,2023-10-08
69,2576,44094,2023-01-22
70,1629,38991,2024-01-24
71,3868,41112,2016-10-29
72,1545,25931,2014-06-28
73,4541,31618,2015-12-28
74,4763,47848,2018-07-13
75,3556,32330,2016-10-15
76,510,673,2016-07-18
77,4563,48462,2022-09-15
78,4807,12796,2016-09-13
79,1845,14670,2016-11-25
80,3160,33380,2019-11-29
81,1683,8972,2020-05-08
82,1445,49935,2019-12-19
83,3127,10675,2021-08-26
84,3661,47412,2018-04-20
85,2068,7096,2020-02-07
86,4468,32349,2017-10-10
87,4050,19313,2024-02-02
88,4491,49078,2023-08-31
89,3066,14420,2020-09-24
90,3492,28406,2017-09-12
91,3702,29326,2024-02-19
92,3978,33205,2016-03-08
93,1795,48215,2022-08-28
94,2114,41044,2018-04-19
95,2500,29429,2023-05-01
96,4662,9566,2018-09-01
97,4773,8911,2015-07-12
98,3831,23410,2022-02-19
99,1183,45512,2021-07-10
100,3073,47557,2019-12-07
101,624,49535,2019-05-31
102,4194,37312,2022-04-20
103,113,45961,2021-11-21
104,4112,10270,2021-10-30
105,2467,31251,2021-09-28
106,1847,32606,2016-01-26
107,2559,11387,2019-07-17
108,1625,12377,2018-07-24
109,3055,23367,2022-12-31
110,708,9476,2018-11-26
111,203,46094,2022-08-23
112,3587,7490,2020-07-24
113,2990,10404,2023-06-07
114,2266,29576,2018-08-10
115,4014,9862,2014-06-13
116,946,35064,2015-08-10
117,3249,45414,2015-11-15
118,4671,22107,2015-06-24
119,364,5578,2017-04-23
120,877,11266,2016-06-26
121,4887,412,2015-11-23
122,3680,9857,2021-09-14
123,3302,492,2020-01-01
124,4435,45000,2022-12-01
125,2811,17938,2017-08-13
126,1887,18053,2015-12-02
127,3423,47663,2024-01-07
128,662,44681,2020-09-07
129,2710,43171,2016-11-29
130,4986,10118,2020-07-10
131,4006,36415,2023-04-01
132,2618,32480,2023-12-06
133,862,685,2023-05-15
134,2035,3165,2020-02-05
135,3432,1337,2016-03-27
136,2423,49138,2019-04-19
137,4449,49359,2018-03-17
138,278,27120,2015-09-26
139,1115,7275,2016-08-17
140,213,4385,2016-08-18
141,3088,6105,2023-12-19
142,2849,26716,2016-02-20
143,3188,29975,2021-07-27
144,2580,21920,2020-03-24
145,327,34830,2018-10-25
146,4049,45761,2020-10-11
147,4827,22264,2018-11-25
148,2686,16051,2018-04-03
149,3698,35833,2016-06-23
150,349,39983,2020-04-20
151,268,709,2020-03-02
152,1352,32325,2022-03-19
153,2671,21210,2023-03-25
154,4837,722,2014-06-08
155,2728,9069,2015-01-23
156,4829,17711,2021-02-10
157,1978,15127,2014-06-02
158,3004,29117,2020-08-06
159,4644,16636,2022-01-27
160,1613,25347,2014-12-02
161,3306,1055,2015-11-23
162,4241,9322,2022-05-05
163,590,31624,2016-03-19
164,3457,45123,2020-11-02
165,3159,30333,2015-09-09
166,601,20792,2018-06-28
167,3839,28100,2020-10-17
168,2602,35025,2022-05-13
169,1144,21989,2020-02-04
170,2894,24101,2014-06-15
171,3684,29059,2023-12-23
172,475,23089,2021-01-14
173,3738,25133,2023-09-26
174,1359,39420,2021-10-12
175,4457,24651,2014-09-28
176,3730,26673,2017-03-31
177,4108,30319,2022-06-19
178,2214,8418,2018-03-22
179,2816,8535,2016-04-17
180,1745,7450,2018-11-10
181,1151,7275,2018-10-26
182,2604,30469,2024-02-18
183,2712,17506,2020-09-17
184,35,37439,2019-02-15
185,1985,25921,2022-01-16
186,1656,33226,2018-09-26
187,1867,17013,2017-05-09
188,1718,37404,2022-11-04
189,4270,12160,2018-08-28
190,3090,49576,2022-05-16
191,4003,17412,2016-12-15
192,377,13858,2019-09-04
193,4929,30012,2023-03-31
194,1037,26085,2023-04-27
195,1651,31364,2017-01-07
