request_id,student_id,book_id,loan_date,return_date
0,2775,93,2021-12-21,2022-01-06
1,3222,53,2022-05-13,2022-06-07
2,2800,51,2020-08-08,2020-08-28
3,3216,9,2023-05-02,2023-05-11
4,1029,78,2023-07-05,2023-07-30
5,2697,53,2023-07-04,2023-07-21
6,4677,64,2019-09-17,2019-09-29
7,4600,7,2020-12-02,2020-12-21
8,2219,63,2020-11-29,2020-12-14
9,2574,83,2021-04-24,2021-05-01
10,2669,8,2020-10-05,2020-10-22
11,4666,58,2021-07-19,2021-08-06
12,3323,56,2021-05-11,2021-05-23
13,3484,54,2024-04-15,2024-04-29
14,2753,68,2020-04-28,2020-05-17
15,2961,48,2021-07-19,2021-08-12
16,2662,9,2023-12-04,2023-12-20
17,3028,73,2022-06-18,2022-07-11
18,2682,57,2021-09-17,2021-10-15
19,2037,84,2022-03-24,2022-04-14
20,2291,100,2020-11-21,2020-11-29
21,4047,32,2021-09-11,2021-09-26
22,3409,83,2023-04-23,2023-05-16
23,2507,96,2021-02-20,2021-03-11
24,3107,96,2021-07-23,2021-08-16
25,3177,9,2019-05-31,2019-06-15
26,1286,63,2023-05-01,2023-05-20
27,3893,48,2021-08-31,2021-09-29
28,1065,61,2021-02-11,2021-02-19
29,4829,83,2021-04-04,2021-04-11
30,2400,73,2021-03-10,2021-03-18
31,4225,89,2023-12-15,2024-01-12
32,1590,15,2022-08-15,2022-09-13
33,4235,11,2021-10-24,2021-11-01
34,4109,49,2023-01-01,2023-01-14
35,1145,11,2022-09-10,2022-09-20
36,4029,47,2022-09-11,2022-10-02
37,4476,54,2022-05-17,2022-05-28
38,1462,73,2022-06-07,2022-07-01
39,4596,33,2024-03-11,2024-03-18
40,2757,40,2020-01-12,2020-01-21
41,2082,53,2023-06-15,2023-06-25
42,2417,4,2022-11-09,2022-12-06
43,4820,4,2020-02-14,2020-03-03
44,2711,24,2020-02-17,2020-03-07
45,2825,83,2023-10-23,2023-11-04
46,2545,99,2020-09-22,2020-10-06
47,1795,23,2020-12-31,2021-01-23
48,3364,15,2020-01-25,2020-02-17
49,1034,98,2022-05-11,2022-06-04
50,4612,7,2020-05-20,2020-06-17
51,4633,40,2019-12-13,2019-12-24
52,3774,80,2020-11-25,2020-12-13
53,4633,1,2020-01-17,2020-01-25
54,4003,89,2023-02-25,2023-03-15
55,2791,40,2019-07-25,2019-08-05
56,4898,50,2019-06-24,2019-07-21
57,1095,14,2023-10-12,2023-10-31
58,2883,83,2020-07-26,2020-08-17
59,4769,2,2021-09-15,2021-10-12
60,3990,64,2022-08-06,2022-09-03
61,3836,86,2021-10-24,2021-11-23
62,3345,95,2022-11-09,2022-11-21
63,2450,36,2022-07-11,2022-07-19
64,4720,89,2019-06-26,2019-07-08
65,1731,20,2022-07-22,2022-08-13
66,3044,80,2021-04-19,2021-05-06
67,2463,43,2021-11-21,2021-12-17
68,3473,54,2023-08-05,2023-08-14
69,1173,15,2020-05-10,2020-05-24
70,2496,19,2023-04-08,2023-05-02
71,1257,27,2022-02-25,2022-03-09
72,3389,25,2023-02-17,2023-03-01
73,4166,38,2024-02-14,2024-03-15
74,4128,82,2022-11-01,2022-11-25
75,3214,2,2023-03-31,2023-04-09
76,2129,61,2022-10-01,2022-10-23
77,3205,25,2020-09-11,2020-09-24
78,2572,87,2020-06-29,2020-07-18
79,3126,70,2021-01-23,2021-02-13
80,3118,33,2023-10-28,2023-11-18
81,1705,20,2022-10-27,2022-11-11
82,1031,99,2020-03-26,2020-04-23
83,3681,9,2024-02-03,2024-02-24
84,2981,75,2021-05-19,2021-06-16
85,3359,84,2020-10-23,2020-11-19
86,1390,85,2019-08-01,2019-08-19
87,4457,36,2020-03-03,2020-03-29
88,1120,77,2022-02-21,2022-03-13
89,1967,78,2023-08-01,2023-08-28
90,1889,39,2021-05-19,2021-05-29
91,4446,50,2021-06-07,2021-06-28
92,3592,82,2023-11-20,2023-12-18
93,1722,84,2021-12-04,2021-12-27
94,2284,93,2020-01-23,2020-02-06
95,4127,38,2024-02-01,2024-02-25
96,2007,6,2020-11-26,2020-12-24
97,4218,30,2022-09-06,2022-09-14
98,1554,20,2024-04-22,2024-05-18
99,4709,99,2019-08-21,2019-09-16
100,3880,31,2022-03-31,2022-04-29
101,1238,40,2020-10-02,2020-10-21
102,2802,60,2020-10-18,2020-11-08
103,2003,24,2023-03-09,2023-04-05
104,4180,39,2023-07-14,2023-07-21
105,2788,100,2021-12-05,2021-12-25
106,4512,19,2021-07-27,2021-08-08
107,1812,57,2023-08-23,2023-09-20
108,1305,28,2020-07-06,2020-07-20
109,4192,22,2020-04-11,2020-05-03
110,4260,78,2024-01-21,2024-02-06
111,4768,69,2021-03-30,2021-04-12
112,2946,52,2021-07-20,2021-08-07
113,3229,35,2023-08-18,2023-08-31
114,3851,36,2024-03-20,2024-03-27
115,1581,46,2023-10-20,2023-11-08
116,4408,51,2020-12-08,2020-12-17
117,1217,15,2024-04-04,2024-04-15
118,4687,31,2020-09-02,2020-09-13
119,2817,12,2022-02-19,2022-03-10
120,3283,29,2022-07-07,2022-07-16
121,2998,62,2020-09-24,2020-10-10
122,2879,84,2019-10-30,2019-11-07
123,3297,71,2023-09-19,2023-10-13
124,3560,8,2019-06-27,2019-07-16
125,4489,17,2022-02-28,2022-03-29
126,3827,81,2020-06-11,2020-07-03
127,1259,69,2020-08-23,2020-09-05
128,3793,61,2019-06-24,2019-07-01
129,2270,65,2022-01-07,2022-02-06
130,3444,74,2022-03-20,2022-04-04
131,1280,86,2020-07-10,2020-08-07
132,3101,49,2021-05-29,2021-06-10
133,3728,14,2024-03-20,2024-04-14
134,4072,38,2023-11-01,2023-11-16
135,3124,43,2023-09-19,2023-09-27
136,1465,35,2022-11-21,2022-12-13
137,4288,43,2020-07-14,2020-07-21
138,1355,97,2019-06-26,2019-07-13
139,1576,30,2023-01-21,2023-01-30
140,4583,31,2021-04-26,2021-05-18
141,3295,61,2023-06-12,2023-06-30
142,1837,81,2023-10-23,2023-11-09
143,4911,73,2023-12-22,2024-01-18
144,3008,37,2020-08-16,2020-08-23
145,2343,87,2022-07-10,2022-07-21
146,1922,79,2019-06-11,2019-07-06
147,2418,31,2021-12-10,2021-12-31
148,3022,12,2022-02-03,2022-03-02
149,1969,40,2020-03-02,2020-03-25
150,2861,29,2022-08-25,2022-09-07
151,3618,74,2023-10-10,2023-10-24
152,2715,39,2022-05-12,2022-05-25
153,2562,37,2020-01-04,2020-02-01
154,3025,59,2023-07-31,2023-08-23
155,4180,49,2024-04-20,2024-05-03
156,1522,55,2020-12-11,2020-12-21
157,2393,57,2023-09-27,2023-10-27
158,1855,32,2023-10-22,2023-11-15
159,4218,7,2022-06-25,2022-07-05
160,3267,31,2021-02-17,2021-02-27
161,4521,79,2023-05-20,2023-06-07
162,3229,19,2021-09-02,2021-09-29
163,2635,42,2022-11-30,2022-12-12
164,4144,48,2020-12-04,2020-12-28
165,4444,15,2020-07-15,2020-07-28
166,1628,74,2023-09-02,2023-09-24
167,1493,56,2023-01-11,2023-02-01
168,4714,43,2022-12-14,2023-01-09
169,4645,97,2021-07-10,2021-08-09
170,1911,11,2023-12-12,2023-12-23
171,2901,89,2022-02-18,2022-03-10
172,4351,93,2019-11-28,2019-12-17
173,1896,67,2021-04-26,2021-05-20
174,4803,85,2020-09-15,2020-10-13
175,4825,9,2023-10-18,2023-11-04
176,1467,87,2022-02-07,2022-02-23
177,4377,82,2020-10-02,2020-10-18
178,3568,26,2024-04-13,2024-05-03
179,3552,8,2023-08-15,2023-08-24
180,2902,43,2020-03-04,2020-03-23
181,2283,96,2021-07-30,2021-08-13
182,1407,81,2022-05-21,2022-06-08
183,1906,91,2023-08-25,2023-09-04
184,1816,3,2022-12-04,2022-12-29
185,2215,20,2024-03-17,2024-04-08
186,3470,69,2020-04-13,2020-04-27
187,1184,47,2024-02-24,2024-03-05
188,3682,32,2023-02-23,2023-03-22
189,2216,39,2023-04-12,2023-04-30
190,2665,77,2019-08-03,2019-08-12
191,2959,52,2024-04-26,2024-05-08
192,4081,38,2021-11-08,2021-11-22
193,2701,41,2023-03-12,2023-03-21
194,2272,97,2021-07-14,2021-08-10
195,1893,91,2021-02-15,2021-03-11
196,1643,91,2022-07-14,2022-07-26
197,2101,5,2021-08-20,2021-09-07
198,3491,56,2022-09-21,2022-10-17
199,2615,56,2021-09-21,2021-10-10
200,3390,8,2020-11-02,2020-12-02
201,2694,21,2022-06-20,2022-07-02
202,2622,93,2023-04-25,2023-05-15
203,1516,67,2020-06-11,2020-07-09
204,2221,18,2023-05-09,2023-06-02
205,2093,93,2020-04-05,2020-04-12
206,1828,7,2022-12-22,2023-01-18
207,1753,87,2021-06-05,2021-06-21
208,1546,17,2020-02-03,2020-02-12
209,1165,17,2019-06-03,2019-06-16
210,2796,23,2021-06-17,2021-07-10
211,2388,86,2021-01-08,2021-02-02
212,2757,62,2021-07-23,2021-07-31
213,1957,63,2022-02-13,2022-03-12
214,2307,77,2020-07-07,2020-07-14
215,1354,56,2022-05-22,2022-05-29
216,2586,5,2023-09-15,2023-10-08
217,1578,57,2019-12-17,2020-01-10
218,4725,15,2023-09-09,2023-09-27
219,2494,14,2023-03-04,2023-03-25
220,1465,46,2019-06-27,2019-07-26
221,1732,8,2021-01-23,2021-02-18
222,1354,54,2022-05-10,2022-05-25
223,1279,100,2019-06-30,2019-07-30
224,2912,42,2020-11-05,2020-11-29
225,1335,98,2021-05-23,2021-06-01
226,2113,35,2020-03-18,2020-04-05
227,2089,74,2020-07-18,2020-08-12
228,3271,38,2019-08-31,2019-09-27
229,3709,30,2023-04-11,2023-04-28
230,4822,61,2021-10-17,2021-11-04
231,1557,96,2023-06-14,2023-07-13
232,4011,43,2020-08-30,2020-09-20
233,4705,50,2020-04-15,2020-05-13
234,2796,19,2022-10-09,2022-11-05
235,4454,44,2024-01-08,2024-02-06
236,1382,82,2019-10-21,2019-11-05
237,4723,65,2022-05-06,2022-05-30
238,3200,41,2019-12-04,2020-01-01
239,4561,79,2023-10-05,2023-10-15
240,2002,56,2021-09-06,2021-09-21
241,4724,87,2023-10-05,2023-10-26
242,3016,31,2020-07-05,2020-08-02
243,1207,19,2023-01-09,2023-01-18
244,2591,87,2021-05-06,2021-05-19
245,2978,99,2023-09-23,2023-10-17
246,2759,77,2024-05-10,2024-05-18
247,2059,53,2021-05-23,2021-06-15
248,1682,83,2019-12-25,2020-01-23
249,1347,58,2023-11-09,2023-12-07
250,3830,75,2022-09-26,2022-10-10
